NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	Details ...	152	-0.7110413	-2.3285058	0.0	0.0	0.0	1147	tags=41%, list=10%, signal=45%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	84	-0.75292444	-2.2726977	0.0	5.405043E-4	0.001	851	tags=39%, list=7%, signal=42%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	Details ...	88	-0.7483026	-2.264357	0.0	3.6033618E-4	0.001	851	tags=39%, list=7%, signal=41%	
HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1	Details ...	142	-0.6813618	-2.2520466	0.0	2.7025215E-4	0.001	1372	tags=42%, list=12%, signal=47%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	84	-0.7298044	-2.240012	0.0	2.1620172E-4	0.001	851	tags=38%, list=7%, signal=41%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	87	-0.72930986	-2.238879	0.0	1.8016809E-4	0.001	851	tags=37%, list=7%, signal=39%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	Details ...	88	-0.72946614	-2.2349925	0.0	1.544298E-4	0.001	851	tags=36%, list=7%, signal=39%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220210%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220210%WP477%HOMO SAPIENS	Details ...	80	-0.73383135	-2.2227924	0.0	1.3512607E-4	0.001	851	tags=39%, list=7%, signal=41%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	Details ...	90	-0.7113233	-2.191281	0.0	1.2011207E-4	0.001	851	tags=37%, list=7%, signal=39%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	96	-0.7075236	-2.1679354	0.0	1.0810086E-4	0.001	851	tags=36%, list=7%, signal=39%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	Details ...	96	-0.69212997	-2.1592052	0.0	9.827351E-5	0.001	851	tags=33%, list=7%, signal=36%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	97	-0.68690825	-2.1571848	0.0	9.0084046E-5	0.001	1509	tags=31%, list=13%, signal=35%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	76	-0.7182888	-2.1556237	0.0	8.3154504E-5	0.001	585	tags=21%, list=5%, signal=22%	
RRNA PROCESSING%REACTOME%R-HSA-72312.3	RRNA PROCESSING%REACTOME%R-HSA-72312.3	Details ...	195	-0.63242036	-2.1510103	0.0	7.72149E-5	0.001	1667	tags=38%, list=14%, signal=43%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	185	-0.6404208	-2.1401985	0.0	7.206724E-5	0.001	1304	tags=35%, list=11%, signal=38%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	Details ...	110	-0.67032087	-2.1364512	0.0	6.7563036E-5	0.001	851	tags=34%, list=7%, signal=36%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	Details ...	175	-0.63626033	-2.1358016	0.0	6.358874E-5	0.001	1304	tags=34%, list=11%, signal=38%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	74	-0.7241948	-2.1224537	0.0	6.0056034E-5	0.001	585	tags=22%, list=5%, signal=23%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	107	-0.6699526	-2.1202424	0.0	5.6895187E-5	0.001	851	tags=34%, list=7%, signal=36%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	85	-0.69431347	-2.113928	0.0	5.405043E-5	0.001	585	tags=19%, list=5%, signal=20%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775		76	-0.7182888	-2.1085505	0.0	2.5848532E-4	0.005	585	tags=21%, list=5%, signal=22%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		106	-0.6702959	-2.1065264	0.0	2.4673596E-4	0.005	851	tags=34%, list=7%, signal=36%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1		110	-0.67032087	-2.1017196	0.0	2.3600832E-4	0.005	851	tags=34%, list=7%, signal=36%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737		114	-0.6586783	-2.101329	0.0	2.2617463E-4	0.005	851	tags=32%, list=7%, signal=35%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200		119	-0.664001	-2.1004372	0.0	2.1712766E-4	0.005	1849	tags=34%, list=16%, signal=40%	
