NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION%MSIGDB_C2%HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION%MSIGDB_C2%HALLMARK_PROTEIN_SECRETION	Details ...	74	0.7221731	1.9905082	0.0	0.025666997	0.027	1208	tags=45%, list=10%, signal=49%	
POSITIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051057	POSITIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051057	Details ...	27	0.8403367	1.9626752	0.0	0.039526485	0.078	290	tags=26%, list=2%, signal=27%	
SIGNALING BY ALK IN CANCER%REACTOME DATABASE ID RELEASE 79%9700206	SIGNALING BY ALK IN CANCER%REACTOME DATABASE ID RELEASE 79%9700206	Details ...	50	0.7330661	1.9203811	0.0	0.08087809	0.215	1026	tags=38%, list=9%, signal=41%	
POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0046579	POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0046579	Details ...	25	0.83160675	1.9132636	0.0	0.07377177	0.254	290	tags=24%, list=2%, signal=25%	
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME%R-HSA-6807878.1	COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME%R-HSA-6807878.1	Details ...	75	0.67770696	1.9056156	0.0	0.07212238	0.302	1632	tags=37%, list=14%, signal=43%	
SIGNALING BY ALK FUSIONS AND ACTIVATED POINT MUTANTS%REACTOME%R-HSA-9725370.1	SIGNALING BY ALK FUSIONS AND ACTIVATED POINT MUTANTS%REACTOME%R-HSA-9725370.1	Details ...	50	0.7330661	1.8928925	0.0	0.07929545	0.379	1026	tags=38%, list=9%, signal=41%	
ER TO GOLGI ANTEROGRADE TRANSPORT%REACTOME%R-HSA-199977.4	ER TO GOLGI ANTEROGRADE TRANSPORT%REACTOME%R-HSA-199977.4	Details ...	117	0.6317415	1.8735113	0.0	0.10536375	0.515	1761	tags=38%, list=15%, signal=45%	
TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME%R-HSA-948021.2	TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME%R-HSA-948021.2	Details ...	138	0.6301198	1.8700976	0.0	0.099796966	0.548	1761	tags=38%, list=15%, signal=44%	
RHOV GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013424	RHOV GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013424	Details ...	33	0.77244407	1.8649739	0.0	0.09885841	0.592	507	tags=33%, list=4%, signal=35%	
RHOU GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013420	RHOU GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013420	Details ...	34	0.767255	1.854438	0.0	0.1112609	0.689	618	tags=29%, list=5%, signal=31%	
ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20220210%WP5036%HOMO SAPIENS	ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20220210%WP5036%HOMO SAPIENS	Details ...	15	0.8584583	1.8278605	0.0	0.1665833	0.855	361	tags=27%, list=3%, signal=27%	
POST-GOLGI VESICLE-MEDIATED TRANSPORT%GOBP%GO:0006892	POST-GOLGI VESICLE-MEDIATED TRANSPORT%GOBP%GO:0006892	Details ...	84	0.6524933	1.8236998	0.0	0.1657749	0.875	1726	tags=40%, list=14%, signal=47%	
PID_ECADHERIN_STABILIZATION_PATHWAY%MSIGDB_C2%PID_ECADHERIN_STABILIZATION_PATHWAY	PID_ECADHERIN_STABILIZATION_PATHWAY%MSIGDB_C2%PID_ECADHERIN_STABILIZATION_PATHWAY	Details ...	22	0.8103252	1.8096141	0.0016393443	0.19985388	0.929	844	tags=50%, list=7%, signal=54%	
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	Details ...	37	0.7374798	1.8052517	0.0016722408	0.20125839	0.948	1011	tags=32%, list=8%, signal=35%	
GOLGI TO PLASMA MEMBRANE TRANSPORT%GOBP%GO:0006893	GOLGI TO PLASMA MEMBRANE TRANSPORT%GOBP%GO:0006893	Details ...	44	0.70585406	1.8012804	0.0	0.20261757	0.955	1322	tags=39%, list=11%, signal=43%	
RECEPTOR-MEDIATED ENDOCYTOSIS%GOBP%GO:0006898	RECEPTOR-MEDIATED ENDOCYTOSIS%GOBP%GO:0006898	Details ...	84	0.63006115	1.7758068	0.0016	0.28983667	0.991	892	tags=24%, list=7%, signal=26%	
SKIN DEVELOPMENT%GOBP%GO:0043588	SKIN DEVELOPMENT%GOBP%GO:0043588	Details ...	49	0.6810199	1.7689426	0.0	0.30309966	0.994	749	tags=27%, list=6%, signal=28%	
DIGESTIVE SYSTEM DEVELOPMENT%GOBP%GO:0055123	DIGESTIVE SYSTEM DEVELOPMENT%GOBP%GO:0055123	Details ...	29	0.7266327	1.7666012	0.0017241379	0.29793954	0.994	515	tags=17%, list=4%, signal=18%	
TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.3	TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.3	Details ...	64	0.6553443	1.7604082	0.0	0.308464	0.996	1097	tags=33%, list=9%, signal=36%	
CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869	CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869	Details ...	20	0.79288757	1.7589304	0.0	0.2995066	0.997	612	tags=20%, list=5%, signal=21%	
INTERLEUKIN-3, INTERLEUKIN-5 AND GM-CSF SIGNALING%REACTOME DATABASE ID RELEASE 79%512988	INTERLEUKIN-3, INTERLEUKIN-5 AND GM-CSF SIGNALING%REACTOME DATABASE ID RELEASE 79%512988		23	0.7778699	1.7576827	0.0033726813	0.29054403	0.998	1058	tags=43%, list=9%, signal=48%	
